X,Y,Utility,St/Prov,Zip Code,Therm Ince,Incentive,Map,result_num,osm_id,display_na,category,type,latlong,icon_url
-120.212613,47.2868352,PSE,WA,"98827","50","$5/therm, up to 70%",https://www.pse.com/-/media/Project/PSE/Portal/ArticleImages/service_area_map_thumb.png,"0","165479","Washington, United States",boundary,administrative,"47.2868352,-120.212613",./0.png
-120.212613,47.2868352,Avista,WA,"99252","35","$3.50/therm, up to 70%",https://investor.avistacorp.com/system/files-encrypted/nasdaq_kms/inline-images/Avista-Service-Territory-Map.jpg,"0","165479","Washington, United States",boundary,administrative,"47.2868352,-120.212613",./1.png
-120.737257,43.9792797,NW Natural/Energy Trust of Oregon,OR,"98638","30","$3/therm, up to 75%",https://wutc.maps.arcgis.com/home/webmap/viewer.html?webmap=666d5dc97ba94fdfaf61a6d791915791,"0","165476","Oregon, United States",boundary,administrative,"43.9792797,-120.737257",./2.png
-120.212613,47.2868352,Cascade Natural Gas,WA,"98499","1",15-25/LF,https://www.oregon.gov/puc/utilities/Documents/MAP-GasCompany.pdf,"0","165479","Washington, United States",boundary,administrative,"47.2868352,-120.212613",./3.png
-100.540737,47.6201461,Montana-Dakota Utilities,ND,"58538","1",incentive tbd,https://www.montana-dakota.com/wp-content/uploads/2018/07/mdu_map.png,"0","161653","North Dakota, United States",boundary,administrative,"47.6201461,-100.540737",./4.png
14.4476911,35.8885993,NorthWestern,MT,"59601","1",.75/LF up to $7.50,https://www.northwesternenergy.com/images/default-source/default-album/maplarge.gif?sfvrsn=0.7913172236314796,"0","365307",Malta,boundary,administrative,"35.8885993,14.4476911",./5.png
-105.607716,38.7251776,Black Hills,colorado,"81641","6","$.60/therm, up to 50%, up to $20000",https://drive.google.com/file/d/1-B5_d575PGeDgpDqLk0JPmZxkvRxos51/view,"0","161961","Colorado, United States",boundary,administrative,"38.7251776,-105.607716",./6.png
-105.607716,38.7251776,Xcel,colorado,"20646","4",$.40/therm,,"0","161961","Colorado, United States",boundary,administrative,"38.7251776,-105.607716",./7.png
-111.714358,39.4225192,Dominion,utah,"84647","10","$1/therm, up to 50%",htps://www.thermwise.com/wp-content/uploads/2020/Thermwise_Business_Custom_Rebates_2020.pdf,"0","161993","Utah, United States",boundary,administrative,"39.4225192,-111.714358",./8.png
-92.5617875,38.7604815,Spire,missouri,"65101","6.6",$.66/therm,https://www.spireenergy.com/county-map-service-areas,"0","161638","Missouri, United States",boundary,administrative,"38.7604815,-92.5617875",./9.png
-93.3122705,41.9216734,Midamerican,iowa,"50011","15",$1.50/therm,https://www.midamericanenergy.com/business-advantages,"0","161650","Iowa, United States",boundary,administrative,"41.9216734,-93.3122705",./10.png
-89.6884637,44.4308975,FocusOnEnergy,wisconsin,"53233","8",$.80/therm,,"0","165466","Wisconsin, United States",boundary,administrative,"44.4308975,-89.6884637",./11.png
-89.4337288,40.0796606,Ameren,illinois,"61615","15",$.75-1.50/therm,https://www.ameren.com/illinois/company/about-ameren/service-territory,"0","122586","Illinois, United States",boundary,administrative,"40.0796606,-89.4337288",./12.png
-89.4337288,40.0796606,Nicor,illinois,"61032","7",$.60-$.80/therm $2.50-10/LF,https://www.ilenergyassn.org/illinois-natural-gas-utilities-map/,"0","122586","Illinois, United States",boundary,administrative,"40.0796606,-89.4337288",./13.png
-86.1746933,40.3270127,Vectren,indiana,"47904","10","$1/therm, up to 50%",https://indianaenergy.org/gas-service-areas/#two,"0","161816","Indiana, United States",boundary,administrative,"40.3270127,-86.1746933",./14.png
-86.1746933,40.3270127,Nipsco,indiana,"47807","8","$.80/therm, $3-8.50/LF",https://indianaenergy.org/gas-service-areas/#two,"0","161816","Indiana, United States",boundary,administrative,"40.3270127,-86.1746933",./15.png
-82.6881395,40.2253569,Vectren,ohio,"45501","10","$.75-1/therm, up to 30% or $25,000",,"0","162061","Ohio, United States",boundary,administrative,"40.2253569,-82.6881395",./14.png
-84.6824346,43.6211955,Semco,michigan,"48060","6.6","$.66/therm, $2.60/LF, up to 75%","https://www.michigan.gov/mpsc/0,9535,7-395-93308_93325_93422_93762_94260-504480--,00.html","0","165789","Michigan, United States",boundary,administrative,"43.6211955,-84.6824346",./16.png
